Country Name,Country Code,Time,Time Code,"Tariff rate, applied, simple mean, all products (%) [TM.TAX.MRCH.SM.AR.ZS]","Tariff rate, applied, simple mean, manufactured products (%) [TM.TAX.MANF.SM.AR.ZS]",GDP (constant LCU) [NY.GDP.MKTP.KN],Trade (% of GDP) [NE.TRD.GNFS.ZS],Exports of goods and services (constant LCU) [NE.EXP.GNFS.KN],Imports of goods and services (constant LCU) [NE.IMP.GNFS.KN]
Portugal,PRT,1999,YR1999,..,..,184148633000,63.3143298172237,38825120000,50247416000
Portugal,PRT,2000,YR2000,3.3,2.3,191176071000,67.4529979863247,42140150000,53033068000
Portugal,PRT,2001,YR2001,4.26,3.04,194891907000,65.0919551771122,43117668000,53574030000
Portugal,PRT,2002,YR2002,2.57,1.75,196394377000,62.3082594169772,44548348000,53434569000
Portugal,PRT,2003,YR2003,2.54,1.68,194566886000,61.1389474883653,46758186000,53308170000
Portugal,PRT,2004,YR2004,2.64,1.76,198047173000,63.2045936670279,48442338000,57262637000
Portugal,PRT,2005,YR2005,2.68,1.7,199595600000,62.944504560452,48575669000,58521468000
Portugal,PRT,2006,YR2006,2.75,1.8,202839099000,68.5470531182009,54632533000,62960009000
Portugal,PRT,2007,YR2007,2.53,1.67,207923422000,69.9461175817991,58171135000,66494580000
Portugal,PRT,2008,YR2008,2.37,1.59,208587212000,72.0757429221604,57926504000,67989981000
Portugal,PRT,2009,YR2009,2.44,1.6,202074956000,61.4926935267759,52094085000,61528329000
Portugal,PRT,2010,YR2010,2.78,2,205586260000,67.6892401927983,56875099000,66320779000
Portugal,PRT,2011,YR2011,2.3,1.51,202063483000,73.0075756700531,60790053000,62211690000
Portugal,PRT,2012,YR2012,2.28,1.5,193878088000,75.9411067187813,62667496000,58293892000
Portugal,PRT,2013,YR2013,2.21,1.47,191970121000,78.0305056874282,67216949000,61037974000
Portugal,PRT,2014,YR2014,2.76,2.07,193393371000,80.220669072079,70109656000,65925924000
Portugal,PRT,2015,YR2015,2.73,2.03,196467935000,80.6346756266443,74493088000,71243273000
Portugal,PRT,2016,YR2016,2.48,1.75,200405430000,79.5223464844001,78002956000,74962538000
Portugal,PRT,2017,YR2017,2.48,1.87,207048310000,84.8077923069539,84547841000,80980926000
Portugal,PRT,2018,YR2018,2.46,1.81,213148538000,86.7356954918399,88180710000,84954491000
Portugal,PRT,2019,YR2019,2.55,1.79,219000925000,86.7709889083586,91711828000,89255685000
Portugal,PRT,2020,YR2020,1.71,1.6,201032705000,76.5086407209215,74896775000,78910615000
Portugal,PRT,2021,YR2021,2.24,1.67,212207626000,85.8735452148975,83910261000,88584144000
Portugal,PRT,2022,YR2022,1.95,1.44,227032115000,101.364147310434,98303274000,98563648000
Portugal,PRT,2023,YR2023,..,..,232964756000,93.8637906963574,102042462000,100334183000
Portugal,PRT,2024,YR2024,..,..,237457351000,91.1410312778576,105476946000,105299629000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,License URL
